ID_RETRO,ID_FANGRAPHS,LAST_NAME,GIVEN_NAME
aardd001,1902,Aardsma,David Allan
aaroh101,1000001,Aaron,Henry Louis
aarot101,1000002,Aaron,Tommie Lee
aased001,1000003,Aase,Donald William
abada001,506,Abad,Fausto Andres
abadf001,4994,Abad,Fernando Antonio
abadj101,1000004,Abadie,John W.
abbae101,1000005,Abbaticchio,Edward James
abbeb101,1000006,Abbey,Bert Wood
abbec101,1000007,Abbey,Charles S.
abbod101,1000008,Abbott,Leander Franklin
abbof101,1000009,Abbott,Harry Frederick
abbog001,1000010,Abbott,William Glenn
abboj002,1000011,Abbott,Jeffrey William
abboj001,1000012,Abbott,James Anthony
abbok002,1000013,Abbott,Kurt Thomas
abbok001,1000014,Abbott,Lawrence Kyle
abboo101,1000015,Abbott,Ody Cleon
abbop001,1061,Abbott,Paul David
abera101,1000016,Aber,Albert Julius
aberd101,1000017,Abercrombie,Francis Patterson
aberr001,2187,Abercrombie,Reginald Damascus
aberb101,1000018,Abernathie,William Edward
aberb001,1192,Abernathy,Michael Brent
abert102,1000019,Abernathy,Talmadge Lafayette
abert101,1000020,Abernathy,Theodore Wade
aberw101,1000021,Abernathy,Virgil Woodrow
aberc101,1000022,Aberson,Clifford Alexander
ableh101,1000023,Ables,Harry Terrell
abnes001,1000024,Abner,Shawn Wesley
abrac101,1000025,Abrams,Calvin Ross
abrag101,1000026,Abrams,George Allen
abrej001,1000027,Abrego,Johnny Ray
abreb001,945,Abreu,Bob Kelly
abrej101,1000028,Abreu,Joseph Lawrence
abrej003,15676,Abreu,Jose Dariel
abrej002,6306,Abreu,Juan de Dios
abret001,5053,Abreu,Etanislao Toni
abrew001,582,Abreu,Winston Leonardo
abstb101,1000029,Abstein,William Henry
accaj001,6428,Accardo,Jeremiah Lee
acevj002,307,Acevedo,Jose Omar
acevj001,458,Acevedo,Juan Carlos
aceva001,5164,Aceves,Alfredo
achta001,11387,Achter,Adam Joseph
ackej001,1000030,Acker,James Justin
acket101,1000031,Acker,Thomas James
ackld001,10099,Ackley,Dustin Michael
acklf101,1000032,Ackley,Florian Frederick
acosc101,1000033,Acosta,Cecilio
acose101,1000034,Acosta,Eduardo Elixbet
acosj101,1000035,Acosta,Jose
acosm001,8725,Acosta,Manuel Alcides
acosm101,1000036,Acosta,Baldomero Pedro
acrem001,1000037,Acre,Mark Robert
NULL,18401,Acuna,Ronald Jose
adaij101,1000038,Adair,Kenneth Jerry
adaij102,1000039,Adair,James Aubrey
NULL,11861,Adam,Jason Kendall
adamc001,6013,Adames,Cristhian Pascual
NULL,15986,Adames,Willy Rafael
adama101,1000040,Adams,Ace Townsend
adama002,13801,Adams,Austin Lance
adama001,7411,Adams,Austin David
adamb104,1000041,Adams,Charles Benjamin
adamb106,1000042,Adams,John Bertram
adamb107,1000043,Adams,Robert Burnette
adamb102,1000044,Adams,Robert Andrew
adamb105,1000046,Adams,Robert Melvin
adamb103,1000045,Adams,Robert Henry
adamb101,1000047,Adams,Elvin Clark
NULL,18135,Adams,Chance
adamd103,1000048,Adams,Daniel Leslie
adamd001,7389,Adams,David Lee
adamd102,1000049,Adams,Richard Leroy
adamd101,1000050,Adams,Harold Douglas
adamg102,1000051,Adams,George Henry
adamg101,1000052,Adams,Glenn Charles
adamh101,1000053,Adams,Herbert Loren
adamj101,1000054,Adams,James J.
adamj102,1000055,Adams,Joseph Edward
adamk101,1000057,Adams,Karl Tutwiler
adaml001,10767,Adams,Lane Weston
adamm002,9393,Adams,Matthew James
adamm102,1000059,Adams,Robert Michael
adamm001,1937,Adams,Jon Michael
adamr101,1000060,Adams,Charles Dwight
adamr102,1000061,Adams,Reuben Alexander
adamr001,1000062,Adams,Ricky Lee
adamr002,4519,Adams,Russ Moore
adamr003,6343,Adams,Ryan Scott
adams101,1000063,Adams,Earl John
adams102,1000064,Adams,Spencer Dewey
adamt001,946,Adams,Terry Wayne
adamw101,1000065,Adams,James Irvin
adamw001,1000066,Adams,William Edward
adamj001,1000056,Adamson,Joel Lee
adamm101,1000058,Adamson,John Michael
adcoj101,1000067,Adcock,Joseph Wilbur
adcon001,3282,Adcock,Nathan Masler
addib101,1000068,Addis,Robert Gordon
adduj001,1000069,Adduci,James David
adduj002,6448,Adduci,Jim Charles
addyb101,1000070,Addy,Robert Edward
adenn001,6879,Adenhart,Nicholas James
aderm101,1000071,Aderholt,Morris Woodrow
adkid103,1000072,Adkins,John Dewey
adkid101,1000073,Adkins,Richard Earl
adkid102,1000074,Adkins,Merle Theron
adkig101,1000075,Adkins,Grady Emmett
adkij001,1799,Adkins,Jonathan Scott
adkis001,1000077,Adkins,Steven Thomas
adlet001,10968,Adleman,Timothy Max
adled101,1000078,Adlesh,David George
adrie001,8418,Adrianza,Ehire Enrique
afent001,1000079,Afenir,Michael Troy
affej001,583,Affeldt,Jeremy David
agbab001,416,Agbayani,Benny Peter
ageet101,1000080,Agee,Tommie Lee
aggah101,1000081,Agganis,Harry
aglej101,1000082,Agler,Joseph Abram
agnes101,1000083,Agnew,Samuel Lester
agosj001,1000084,Agosto,Juan Roberto
